20171023 21:13:00,3760.0,1
20171023 21:31:00,3705.0,-1
20171023 21:40:00,3714.0,1
20171023 22:28:00,3640.0,-1
20171023 22:37:00,3645.0,1
20171023 23:00:00,3603.0,-1
20171023 09:14:59,3727.0,1
20171023 09:47:59,3696.0,-1
20171023 09:55:59,3713.0,1
20171023 10:05:59,3688.0,-1
20171023 10:41:59,3709.0,1
20171023 10:47:59,3683.0,-1
20171023 11:12:02,3700.0,1
20171023 11:24:05,3680.0,-1
20171023 13:43:05,3721.0,1
20171023 14:07:05,3696.0,-1
20171023 14:26:07,3700.0,1
20171023 14:45:10,3686.0,-1
20171023 14:55:10,3710.0,1
